user_id,age,gender,income,browsing_time,cart_items,purchase_frequency,discount_usage,avg_spending,preferred_category,late_night_activity,impulsive_clicks,buying_mood
U00001,31.957621486631425,Male,84966.9,55.25,2,5.36,6.28,64.6,Beauty,39.9,1,Window Shopper
U00002,21.90272986904042,Male,33242.65,20.66,7,7.3,77.26,112.36,Groceries,19.82,6,Budget Conscious
U00003,28.455977669554088,Male,51653.65,42.33,9,4.23,79.2,137.49,Beauty,67.28,13,Emotional Buyer
U00004,30.59320605705509,Male,60786.47,32.85,2,2.04,23.2,65.91,Beauty,16.99,0,Window Shopper
U00005,25.80311457805541,Male,36821.58,33.58,4,0.83,0.0,255.05,Fashion,74.53,12,Impulsive Buyer
U00006,32.39387002369876,Female,46231.22,35.69,9,3.21,49.03,259.97,Fashion,88.14,3,Emotional Buyer
U00007,23.64404860776128,Male,57004.12,38.12,2,3.33,32.98,71.66,Fashion,19.36,3,Window Shopper
U00008,31.904908008276127,Female,51814.71,65.18,5,1.83,49.97,56.5,Fashion,39.32,1,Window Shopper
U00009,23.84215786060689,Female,51394.02,37.57,6,5.45,30.65,63.59,Electronics,95.16,19,Impulsive Buyer
U00010,40.82139641735615,Non-binary,40334.64,26.38,8,2.94,88.13,96.87,Groceries,15.9,2,Budget Conscious
U00011,40.938898008069025,Male,115297.84,10.71,7,8.84,2.87,300.22,Luxury,27.25,4,Luxury Shopper
U00012,27.754660660782996,Non-binary,50185.42,26.14,1,3.59,34.17,170.57,Beauty,82.84,7,Emotional Buyer
U00013,27.41216209914841,Female,72813.91,33.85,3,4.51,15.92,73.2,Beauty,18.91,0,Window Shopper
U00014,34.45663813426394,Male,48975.7,21.86,9,3.48,28.56,167.5,Beauty,93.09,11,Emotional Buyer
U00015,50.83873294737552,Male,44492.44,12.12,6,11.35,100.0,152.9,Home,25.87,2,Budget Conscious
U00016,49.45719897618409,Female,134042.07,20.11,5,11.11,38.06,398.14,Electronics,34.88,4,Luxury Shopper
U00017,45.97401889381491,Female,41410.85,27.57,5,11.65,96.13,108.63,Groceries,0.0,3,Budget Conscious
U00018,25.07449495840503,Male,60700.57,19.95,13,4.15,17.1,234.42,Electronics,79.23,19,Impulsive Buyer
U00019,32.030813044508704,Female,54660.6,30.08,2,3.99,44.93,123.93,Beauty,83.52,3,Emotional Buyer
U00020,21.526600777154833,Non-binary,83325.54,56.49,2,2.82,33.87,100.98,Fashion,23.02,3,Budget Conscious
U00021,30.322429264562942,Female,68141.24,54.12,2,1.4,32.74,96.43,Fashion,21.48,2,Window Shopper
U00022,31.890211399990008,Female,141191.72,23.11,3,11.04,13.52,449.34,Luxury,20.27,3,Luxury Shopper
U00023,47.88516224307928,Male,53325.76,36.54,2,5.26,20.49,245.49,Beauty,65.57,15,Emotional Buyer
U00024,35.66004885351541,Female,41492.98,16.13,10,3.45,52.26,287.61,Beauty,73.69,10,Emotional Buyer
U00025,35.26105001731488,Male,46192.1,33.93,2,2.62,27.56,56.0,Beauty,32.05,3,Window Shopper
U00026,22.23820208411414,Male,49667.18,42.37,10,3.56,57.43,113.75,Fashion,81.85,11,Impulsive Buyer
U00027,40.30660343595483,Female,40761.68,28.71,5,8.76,91.02,121.05,Home,32.28,4,Budget Conscious
U00028,22.158136738009297,Male,46422.09,33.98,12,3.66,31.69,178.49,Fashion,66.1,14,Impulsive Buyer
U00029,18.868104325392025,Male,53826.99,36.55,6,7.71,21.8,188.2,Electronics,48.8,8,Impulsive Buyer
U00030,19.11193322839718,Male,56032.07,35.21,2,4.54,25.79,90.34,Fashion,23.24,2,Window Shopper
U00031,32.735781635562795,Male,63733.16,30.06,2,5.67,32.69,71.65,Fashion,22.91,2,Window Shopper
U00032,33.040696546787075,Male,50888.89,29.67,10,5.96,29.92,173.95,Beauty,85.75,6,Emotional Buyer
U00033,31.125698084584084,Male,107771.56,9.88,2,6.85,4.99,359.59,Luxury,27.17,5,Luxury Shopper
U00034,19.37096086099152,Female,160238.83,26.6,10,8.84,12.91,460.25,Luxury,15.14,5,Luxury Shopper
U00035,28.69862330912116,Male,42089.28,31.14,6,13.66,75.43,77.33,Home,9.16,2,Budget Conscious
U00036,29.696652336576182,Non-binary,41048.4,30.64,14,5.72,41.12,101.52,Fashion,79.01,10,Impulsive Buyer
U00037,26.5316286884443,Male,45171.87,40.11,9,4.05,15.83,195.84,Electronics,56.83,12,Impulsive Buyer
U00038,33.53465659536068,Male,50610.48,20.77,3,11.26,97.91,105.08,Groceries,8.13,3,Budget Conscious
U00039,41.84356267004882,Female,127063.47,25.49,1,4.21,7.3,500.7,Luxury,15.89,3,Luxury Shopper
U00040,29.820081722270622,Male,44774.12,46.54,1,1.67,14.18,66.57,Fashion,27.02,0,Window Shopper
U00041,42.166554735801164,Non-binary,42275.73,24.82,4,11.41,69.64,146.65,Groceries,5.65,5,Budget Conscious
U00042,26.0100786055302,Female,32521.79,14.03,3,5.53,55.07,244.41,Fashion,76.62,13,Emotional Buyer
U00043,41.007778739264616,Female,58934.05,30.82,1,2.29,20.15,104.95,Fashion,18.83,5,Window Shopper
U00044,36.1712700933877,Male,134218.33,19.8,8,10.4,16.63,564.26,Luxury,23.32,3,Emotional Buyer
U00045,36.07005376891486,Male,57988.45,26.42,9,4.86,45.96,77.8,Beauty,100.0,6,Emotional Buyer
U00046,33.92040770947368,Male,65606.83,51.33,1,2.49,30.19,65.82,Fashion,23.43,3,Window Shopper
U00047,29.743129619753425,Female,136269.49,10.65,11,9.34,37.24,375.97,Electronics,24.25,5,Luxury Shopper
U00048,42.081155253025244,Female,125114.77,20.76,2,10.02,40.06,493.01,Electronics,38.42,8,Luxury Shopper
U00049,24.94111417524362,Male,50390.13,44.06,0,4.24,29.34,125.06,Fashion,25.91,5,Window Shopper
U00050,37.708822563712864,Male,69259.54,31.64,8,3.72,26.81,56.08,Fashion,76.73,19,Impulsive Buyer
U00051,35.2403093017985,Male,63763.57,44.09,9,3.62,25.06,199.4,Fashion,81.99,14,Impulsive Buyer
U00052,28.902607326202343,Male,59263.16,17.24,11,5.86,30.99,219.72,Electronics,62.91,11,Window Shopper
U00053,24.514009054510463,Male,71290.45,46.67,3,0.85,1.28,134.28,Fashion,13.05,1,Window Shopper
U00054,41.31710201628383,Male,36586.83,45.13,2,2.39,29.68,45.18,Fashion,30.04,2,Window Shopper
U00055,24.024907804995213,Male,76686.55,50.34,2,2.41,18.72,140.32,Fashion,17.96,3,Window Shopper
U00056,30.326550033261785,Male,59548.07,39.11,0,0.2,18.16,66.24,Beauty,29.51,3,Luxury Shopper
U00057,18.091834807304355,Male,26897.74,12.67,5,8.81,53.48,107.8,Groceries,9.31,1,Budget Conscious
U00058,33.69794736701487,Female,33082.24,37.67,2,8.36,74.19,96.24,Groceries,10.0,5,Budget Conscious
U00059,24.036858688160063,Female,70114.61,17.1,7,4.67,31.04,150.03,Electronics,70.87,19,Impulsive Buyer
U00060,26.4333725531483,Male,23053.67,33.75,4,2.37,11.62,289.1,Fashion,59.71,12,Impulsive Buyer
U00061,25.938896705996385,Male,71275.42,40.98,3,2.01,41.81,128.41,Fashion,24.25,3,Window Shopper
U00062,39.52986181165618,Male,32785.26,24.87,4,9.5,63.06,112.77,Groceries,28.89,4,Budget Conscious
